Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Event Purchase/EP-03/Page_Online event bersertifikat dari prakti_f42b96/input_Events_searchInputEvent""), """")",Chrome 111.0.0.0,,,2023-03-30 21:35:16,2023-03-30 21:35:19,2.993s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-30 21:35:19,2023-03-30 21:35:20,0.757s,PASSED
,,,,,,,
Test Cases/Web/EP/EP-04,Chrome 111.0.0.0,"""Search for event with search function
with event date as the keyword""",,2023-03-30 21:35:20,2023-03-30 21:35:42,21.696s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-30 21:35:21,2023-03-30 21:35:23,2.446s,PASSED
"navigateToUrl(""https://demo-app.online/event"")",Chrome 111.0.0.0,,,2023-03-30 21:35:23,2023-03-30 21:35:28,4.206s,PASSED
"setText(findTestObject(""Object Repository/Event Purchase/EP-04/Page_Online event bersertifikat dari prakti_f42b96/input_Events_searchInputEvent""), ""25 Nov"")",Chrome 111.0.0.0,,,2023-03-30 21:35:28,2023-03-30 21:35:32,3.835s,PASSED
"sendKeys(findTestObject(""Object Repository/Event Purchase/EP-04/Page_Online event bersertifikat dari prakti_f42b96/input_Events_searchInputEvent""), Keys.chord(ENTER))",Chrome 111.0.0.0,,,2023-03-30 21:35:32,2023-03-30 21:35:34,2.117s,PASSED
"setText(findTestObject(""Object Repository/Event Purchase/EP-04/Page_Online event bersertifikat dari prakti_f42b96/input_Events_searchInputEvent""), ""27 Oct 2022"")",Chrome 111.0.0.0,,,2023-03-30 21:35:34,2023-03-30 21:35:36,2.781s,PASSED
"sendKeys(findTestObject(""Object Repository/Event Purchase/EP-04/Page_Online event bersertifikat dari prakti_f42b96/input_Events_searchInputEvent""), Keys.chord(ENTER))",Chrome 111.0.0.0,,,2023-03-30 21:35:36,2023-03-30 21:35:38,1.875s,PASSED
"setText(findTestObject(""Object Repository/Event Purchase/EP-04/Page_Online event bersertifikat dari prakti_f42b96/input_Events_searchInputEvent""), """")",Chrome 111.0.0.0,,,2023-03-30 21:35:38,2023-03-30 21:35:41,2.835s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-30 21:35:41,2023-03-30 21:35:42,0.758s,PASSED
,,,,,,,
Test Cases/Web/EP/EP-05,Chrome 111.0.0.0,"""Search for event with search function
with event category as the keyword""",,2023-03-30 21:35:42,2023-03-30 21:35:56,14.259s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-30 21:35:43,2023-03-30 21:35:44,1.486s,PASSED
"navigateToUrl(""https://demo-app.online/event"")",Chrome 111.0.0.0,,,2023-03-30 21:35:44,2023-03-30 21:35:48,4.210s,PASSED
"setText(findTestObject(""Object Repository/Event Purchase/EP-06/Page_Online event bersertifikat dari prakti_f42b96/input_Events_searchInputEvent""), ""zoom"")",Chrome 111.0.0.0,,,2023-03-30 21:35:48,2023-03-30 21:35:51,2.972s,PASSED
"sendKeys(findTestObject(""Object Repository/Event Purchase/EP-06/Page_Online event bersertifikat dari prakti_f42b96/input_Events_searchInputEvent""), Keys.chord(ENTER))",Chrome 111.0.0.0,,,2023-03-30 21:35:51,2023-03-30 21:35:54,2.106s,PASSED
"click(findTestObject(""Object Repository/Event Purchase/EP-06/Page_Online event bersertifikat dari prakti_f42b96/h3_No available event  zoom""))",Chrome 111.0.0.0,,,2023-03-30 21:35:54,2023-03-30 21:35:55,1.490s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-30 21:35:55,2023-03-30 21:35:56,1.149s,PASSED
,,,,,,,
Test Cases/Web/EP/EP-06,Chrome 111.0.0.0,"""Search for event with search function
with event platform as the keyword""",,2023-03-30 21:35:56,2023-03-30 21:35:57,0.608s,PASSED
return null,Chrome 111.0.0.0,,,2023-03-30 21:35:57,2023-03-30 21:35:57,0.000s,PASSED
,,,,,,,
Test Cases/Web/EP/EP-07,Chrome 111.0.0.0,"""Search for event with search function
with event status as the keyword""",,2023-03-30 21:35:57,2023-03-30 21:36:13,16.280s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-30 21:35:58,2023-03-30 21:35:59,1.546s,PASSED
"navigateToUrl(""https://demo-app.online/event"")",Chrome 111.0.0.0,,,2023-03-30 21:35:59,2023-03-30 21:36:04,5.029s,PASSED
"setText(findTestObject(""Object Repository/Event Purchase/EP-07/Page_Online event bersertifikat dari prakti_f42b96/input_Events_searchInputEvent""), ""close"")",Chrome 111.0.0.0,,,2023-03-30 21:36:04,2023-03-30 21:36:08,3.859s,PASSED
"sendKeys(findTestObject(""Object Repository/Event Purchase/EP-07/Page_Online event bersertifikat dari prakti_f42b96/input_Events_searchInputEvent""), Keys.chord(ENTER))",Chrome 111.0.0.0,,,2023-03-30 21:36:08,2023-03-30 21:36:10,2.227s,PASSED
